Dataset Name,Observation Date,Series Display Name,Observation Value,Unit
Export Receipts by Commodities and Groups,29-Feb-24,......5 Tobacco,393.89,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......6 Wheat,0,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......7 Spices,8184.16,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,"......8 Oil Seeds, Nuts and Kernels",6638.02,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......9 Sugar,0,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......10 Meat and Meat Preparations,48334.4,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......11 All Other Food Items,80439.02,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,B. Textile Group,1305042,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......12 Raw Cotton,573.24,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......13 Cotton Yarn,77594.92,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......14 Cotton Cloth,149672.19,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......15 Cotton Carded or Combed,96.25,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......16 Yarn Other than Cotton Yarn,1477.67,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......17 Knitwear,313795.72,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......18 Bed Wear,221937.32,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......19 Towels,77194.98,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,"......20 Tents,Canvas & Tarpaulin",7646.91,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......21 Readymade Garments,295557.08,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,"......22 Art,Silk & Synthetic Textile",27926.59,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......23 Madeup Articles(incl.Other Tex,59735.71,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......24 Other Textile Materials,71833.43,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,C. Petroleum Group,43074.03,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......25 Petroleum Crude,0,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......26 Petroleum Products,37075.31,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......27 Solid Fuel including Naphtha,5998.72,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,D. Other Manufacture,324968.16,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,"......28 Carpets,Rugs & Mats",4825.7,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......29 Sports Goods,28359.01,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............A) Footballs,13483.56,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............B) Gloves,5644.62,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............C) Others,9230.84,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......30 Leather Tanned,10041.36,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......31 Leather Manufactures,42658.08,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............A) Leather Garments,19491.87,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............B) Leather Gloves,20929.3,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............C) Other Leather Manufact,2236.91,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......32 Footwear,13497.84,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............A) Leather Footwear,11004.83,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............B) Canvas Footwear,0,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............C) Other Footwear,2493.01,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......33 Surgical Goods & Medical Instr.,35853.55,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......34 Cutlery,5311.47,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......35 Onyx Manufactured,349.12,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......36 Chemical & Pharmaceutical Prod,119505.73,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............A) Fertilizer Manufacture,0,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............B) Plastic Materials,36903.07,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............C) Pharmaceutical Product,18608.17,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............D) Other Chemicals,63994.49,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......37 Engineering Goods,28202.42,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............A) Electric Fans,2854.78,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............B) Transport Equipment,2655.95,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............C) Other Electrical Machi.,3585.63,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............D) Machi.nery Specialized,7484.66,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............E) Auto Parts,1772.99,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,............F) Other Machi.nery,9848.42,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......38 Gems,491.54,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......39 Jewellary,583.01,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......40 Furniture,509.18,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......41 Molasses,8863.77,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......42 Handicrafts,0,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......43 Cement,21416.65,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,......44 Guar and Guar Products,4499.72,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,E. All Others,179487.81,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,I. Total Export Receipts through Banks,2492257.59,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,II Freight on Export,60839.39,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,III Export Receipts Banks (fob),2431418.2,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,IV Other Exports,102537.72,Thousand USD
Export Receipts by Commodities and Groups,29-Feb-24,. Total Export as per BOP,2533955.92,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,A. Food Group,742426.99,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......1 Rice,443987.7,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............A) Basmati,72139.4,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............B) Others,371848.3,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......2 Fish & Fish Preparations,34858.04,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......3 Fruits,28925.21,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......4 Vegetablees/Leguminous Vegetable,68402.7,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......5 Tobacco,4688.12,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......6 Wheat,0,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......7 Spices,6564.56,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,"......8 Oil Seeds, Nuts and Kernels",9551.65,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......9 Sugar,0,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......10 Meat and Meat Preparations,48678.82,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......11 All Other Food Items,96770.18,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,B. Textile Group,1374694.58,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......12 Raw Cotton,8574.98,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......13 Cotton Yarn,105899.92,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......14 Cotton Cloth,156458.94,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......15 Cotton Carded or Combed,117.9,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......16 Yarn Other than Cotton Yarn,2346.27,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......17 Knitwear,330381.8,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......18 Bed Wear,231656.31,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......19 Towels,78917.54,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,"......20 Tents,Canvas & Tarpaulin",9875.4,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......21 Readymade Garments,290889.74,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,"......22 Art,Silk & Synthetic Textile",30701.33,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......23 Madeup Articles(incl.Other Tex,56884.93,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......24 Other Textile Materials,71989.53,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,C. Petroleum Group,37526.11,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......25 Petroleum Crude,0,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......26 Petroleum Products,19607.5,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......27 Solid Fuel including Naphtha,17918.61,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,D. Other Manufacture,316859.28,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,"......28 Carpets,Rugs & Mats",4840.72,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......29 Sports Goods,38473.16,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............A) Footballs,22286.26,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............B) Gloves,5389.33,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............C) Others,10797.57,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......30 Leather Tanned,10849.42,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......31 Leather Manufactures,51087.61,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............A) Leather Garments,23941.89,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............B) Leather Gloves,23791.05,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............C) Other Leather Manufact,3354.67,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......32 Footwear,11900.03,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............A) Leather Footwear,9725.3,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............B) Canvas Footwear,4,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............C) Other Footwear,2170.73,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......33 Surgical Goods & Medical Instr.,39874.72,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......34 Cutlery,5305.93,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......35 Onyx Manufactured,315.74,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......36 Chemical & Pharmaceutical Prod,105702.31,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............A) Fertilizer Manufacture,0,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............B) Plastic Materials,34891.01,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............C) Pharmaceutical Product,17265.28,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............D) Other Chemicals,53546.01,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......37 Engineering Goods,19032.65,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............A) Electric Fans,1943.29,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............B) Transport Equipment,1535.17,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............C) Other Electrical Machi.,3362.83,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............D) Machi.nery Specialized,2842.52,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............E) Auto Parts,1970.3,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,............F) Other Machi.nery,7378.54,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......38 Gems,495.52,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......39 Jewellary,519.22,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......40 Furniture,769.79,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......41 Molasses,1753.47,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......42 Handicrafts,0,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......43 Cement,20606.8,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,......44 Guar and Guar Products,5332.2,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,E. All Others,238984.27,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,I. Total Export Receipts through Banks,2710491.23,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,II Freight on Export,61530.77,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,III Export Receipts Banks (fob),2648960.45,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,IV Other Exports,31003.98,Thousand USD
Export Receipts by Commodities and Groups,31-Jan-24,. Total Export as per BOP,2679964.43,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,A. Food Group,773008.36,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......1 Rice,467955.25,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............A) Basmati,73733.6,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............B) Others,394221.65,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......2 Fish & Fish Preparations,37034.99,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......3 Fruits,23508.09,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......4 Vegetablees/Leguminous Vegetable,43721.35,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......5 Tobacco,14420.01,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......6 Wheat,0,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......7 Spices,5766.01,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,"......8 Oil Seeds, Nuts and Kernels",31751.16,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......9 Sugar,0,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......10 Meat and Meat Preparations,44785.29,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......11 All Other Food Items,104066.2,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,B. Textile Group,1320062.03,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......12 Raw Cotton,15566.77,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......13 Cotton Yarn,95560.56,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......14 Cotton Cloth,155520.47,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......15 Cotton Carded or Combed,279.39,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......16 Yarn Other than Cotton Yarn,2768.71,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......17 Knitwear,333828.58,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......18 Bed Wear,215755.35,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......19 Towels,73376.27,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,"......20 Tents,Canvas & Tarpaulin",11578.49,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......21 Readymade Garments,264571.06,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,"......22 Art,Silk & Synthetic Textile",30461.9,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......23 Madeup Articles(incl.Other Tex,53313.13,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......24 Other Textile Materials,67481.32,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,C. Petroleum Group,46366.67,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......25 Petroleum Crude,0,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......26 Petroleum Products,34959.96,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......27 Solid Fuel including Naphtha,11406.71,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,D. Other Manufacture,329492.79,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,"......28 Carpets,Rugs & Mats",5568.85,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......29 Sports Goods,36710.21,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............A) Footballs,19977.22,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............B) Gloves,5928.74,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............C) Others,10804.25,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......30 Leather Tanned,10686.52,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......31 Leather Manufactures,51736.41,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............A) Leather Garments,24089.1,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............B) Leather Gloves,24442.52,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............C) Other Leather Manufact,3204.79,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......32 Footwear,11019.51,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............A) Leather Footwear,9111.5,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............B) Canvas Footwear,34.08,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............C) Other Footwear,1873.93,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......33 Surgical Goods & Medical Instr.,37984.64,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......34 Cutlery,5075.72,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......35 Onyx Manufactured,279.68,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......36 Chemical & Pharmaceutical Prod,121121.41,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............A) Fertilizer Manufacture,0,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............B) Plastic Materials,39423.5,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............C) Pharmaceutical Product,17767.63,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............D) Other Chemicals,63930.29,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......37 Engineering Goods,22032.72,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............A) Electric Fans,1617.36,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............B) Transport Equipment,538.21,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............C) Other Electrical Machi.,4865.45,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............D) Machi.nery Specialized,4350.85,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............E) Auto Parts,2027.81,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,............F) Other Machi.nery,8633.05,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......38 Gems,152.2,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......39 Jewellary,814.14,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......40 Furniture,525.91,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......41 Molasses,37.95,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......42 Handicrafts,52,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......43 Cement,20634.91,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,......44 Guar and Guar Products,5060.01,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,E. All Others,211885.62,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,I. Total Export Receipts through Banks,2680815.46,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,II Freight on Export,47865.59,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,III Export Receipts Banks (fob),2632949.87,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,IV Other Exports,150051.47,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-23,. Total Export as per BOP,2783001.34,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,A. Food Group,710085.68,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......1 Rice,399081.03,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............A) Basmati,78445.32,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............B) Others,320635.71,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......2 Fish & Fish Preparations,35852.11,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......3 Fruits,19911.34,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......4 Vegetablees/Leguminous Vegetable,20753.43,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......5 Tobacco,20422.5,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......6 Wheat,0,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......7 Spices,7973.87,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,"......8 Oil Seeds, Nuts and Kernels",60888.49,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......9 Sugar,0,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......10 Meat and Meat Preparations,43070.03,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......11 All Other Food Items,102132.88,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,B. Textile Group,1370491.09,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......12 Raw Cotton,12470.36,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......13 Cotton Yarn,103675.27,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......14 Cotton Cloth,148446.88,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......15 Cotton Carded or Combed,250.47,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......16 Yarn Other than Cotton Yarn,3600.01,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......17 Knitwear,335703.74,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......18 Bed Wear,237773.86,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......19 Towels,75890.4,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,"......20 Tents,Canvas & Tarpaulin",10328.13,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......21 Readymade Garments,279684.29,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,"......22 Art,Silk & Synthetic Textile",29574.37,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......23 Madeup Articles(incl.Other Tex,63158.32,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......24 Other Textile Materials,69934.99,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,C. Petroleum Group,85624.59,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......25 Petroleum Crude,0,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......26 Petroleum Products,79508.82,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......27 Solid Fuel including Naphtha,6115.77,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,D. Other Manufacture,338991.05,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,"......28 Carpets,Rugs & Mats",5962.86,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......29 Sports Goods,38618.89,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............A) Footballs,21961.63,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............B) Gloves,6772.09,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............C) Others,9885.17,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......30 Leather Tanned,12378.73,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......31 Leather Manufactures,48812.76,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............A) Leather Garments,22355.79,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............B) Leather Gloves,23263.29,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............C) Other Leather Manufact,3193.68,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......32 Footwear,12852.56,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............A) Leather Footwear,10221.36,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............B) Canvas Footwear,42.21,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............C) Other Footwear,2589,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......33 Surgical Goods & Medical Instr.,37435.03,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......34 Cutlery,5635.63,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......35 Onyx Manufactured,568.09,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......36 Chemical & Pharmaceutical Prod,124000.18,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............A) Fertilizer Manufacture,0,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............B) Plastic Materials,33658.96,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............C) Pharmaceutical Product,18469.79,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............D) Other Chemicals,71871.44,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......37 Engineering Goods,23024.88,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............A) Electric Fans,1510.83,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............B) Transport Equipment,2185.62,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............C) Other Electrical Machi.,3862.58,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............D) Machi.nery Specialized,2545.55,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............E) Auto Parts,1898.94,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,............F) Other Machi.nery,11021.37,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......38 Gems,1318.79,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......39 Jewellary,971.56,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......40 Furniture,1001,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......41 Molasses,18.19,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......42 Handicrafts,0,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......43 Cement,21970.88,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,......44 Guar and Guar Products,4421.01,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,E. All Others,239761.32,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,I. Total Export Receipts through Banks,2744953.74,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,II Freight on Export,50147.71,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,III Export Receipts Banks (fob),2694806.03,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,IV Other Exports,2184.72,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-23,. Total Export as per BOP,2696990.75,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-23,A. Food Group,631094.1,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-23,......1 Rice,256809.41,Thousand USD
