Dataset Name,Observation Date,Series Display Name,Observation Value,Unit
Export Receipts by Commodities and Groups,31-Dec-25,............B) Transport Equipment,12379.2911,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,............C) Other Electrical Machi.,10548.7316,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,............D) Machi.nery Specialized,5504.3532,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,............E) Auto Parts,1987.632,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,............F) Other Machi.nery,10693.868,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......38 Gems,2871.8534,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......39 Jewellary,212.7463,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......40 Furniture,832.2055,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......41 Molasses,181.416,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......42 Handicrafts,2.0716,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......43 Cement,27900.526,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......44 Guar and Guar Products,1742.744,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,E. All Others,237492.0429,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,I. Total Export Receipts through Banks,2721732.875,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,II Freight on Export,68388.09677,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,III Export Receipts Banks (fob),2653344.779,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,IV Other Exports,97655.22137,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,. Total Export as per BOP,2751000,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,A. Food Group,364508.0138,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......1 Rice,161091.9047,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............A) Basmati,44017.2048,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,............B) Others,117074.6999,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......2 Fish & Fish Preparations,37752.5016,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......3 Fruits,20569.2759,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......4 Vegetablees/Leguminous Vegetable,8836.315,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......5 Tobacco,12660.4701,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......6 Wheat,0,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......7 Spices,6174.9082,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,"......8 Oil Seeds, Nuts and Kernels",20147.7333,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......9 Sugar,0,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......10 Meat and Meat Preparations,39437.429,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......11 All Other Food Items,57837.476,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,B. Textile Group,1314550.204,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......12 Raw Cotton,909.385,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......13 Cotton Yarn,53736.4642,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......14 Cotton Cloth,129439.1879,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......15 Cotton Carded or Combed,0,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......16 Yarn Other than Cotton Yarn,2041.48,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......17 Knitwear,372338.5867,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......18 Bed Wear,229825.7495,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......19 Towels,70849.5184,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,"......20 Tents,Canvas & Tarpaulin",10892.7933,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......21 Readymade Garments,297278.427,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,"......22 Art,Silk & Synthetic Textile",25980.2612,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......23 Madeup Articles(incl.Other Tex,49375.8449,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......24 Other Textile Materials,71882.5055,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,C. Petroleum Group,88744.184,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......25 Petroleum Crude,19008.097,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......26 Petroleum Products,56238.286,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......27 Solid Fuel including Naphtha,13497.801,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,D. Other Manufacture,286479.3024,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,"......28 Carpets,Rugs & Mats",4288.5011,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,......29 Sports Goods,29320.8304,Thousand USD
