Observation Date,Series Display Name,Observation Value,Unit
31-Dec-25,. Lesotho,4.378,Thousand USD
31-Dec-25,. Liberia,583.492,Thousand USD
31-Dec-25,. Libya,1297.459,Thousand USD
31-Dec-25,. Lithuania,3637.1352,Thousand USD
31-Dec-25,. Luxembourg,2319.755,Thousand USD
31-Dec-25,. Macao,0,Thousand USD
31-Dec-25,. Macedonia (Formerly Yugoslavia),40.5,Thousand USD
31-Dec-25,. Madagascar,12855.1576,Thousand USD
31-Dec-25,. Malawi,131.443,Thousand USD
31-Dec-25,. Malaysia,19850.7618,Thousand USD
31-Dec-25,. Maldives,1141.5865,Thousand USD
31-Dec-25,. Mali,0,Thousand USD
31-Dec-25,. Malta,345.962,Thousand USD
31-Dec-25,. Martinique,0,Thousand USD
31-Dec-25,. Mauritania,1996.051,Thousand USD
31-Dec-25,. Mauritius,2777.7938,Thousand USD
31-Dec-25,. Mexico,10805.4207,Thousand USD
31-Dec-25,. Moldova,148.106,Thousand USD
31-Dec-25,. Mongolia,9.54,Thousand USD
31-Dec-25,. Montserrat,0,Thousand USD
31-Dec-25,. Morocco,3071.6177,Thousand USD
31-Dec-25,. Mozambique,4113.2835,Thousand USD
31-Dec-25,. Myanmar,546.132,Thousand USD
31-Dec-25,. Namibia,1.205,Thousand USD
31-Dec-25,. Nauru,0,Thousand USD
31-Dec-25,. Nepal,88.4311,Thousand USD
31-Dec-25,. Netherlands (Holland),130928.5148,Thousand USD
31-Dec-25,. Netherlands Antilles,0,Thousand USD
31-Dec-25,. New Caledonia,7.646,Thousand USD
31-Dec-25,. New Zealand,3338.8401,Thousand USD
31-Dec-25,. Nicaragua,4.425,Thousand USD
31-Dec-25,. Niger,6.9748,Thousand USD
31-Dec-25,. Nigeria,8022.6359,Thousand USD
31-Dec-25,. North Korea,0,Thousand USD
31-Dec-25,. Norway,3370.8658,Thousand USD
31-Dec-25,. Oman,17050.5414,Thousand USD
31-Dec-25,. Panama Inc. Panama Canal Zone,2004.5607,Thousand USD
31-Dec-25,. Papua New Guinea,40.798,Thousand USD
31-Dec-25,. Paraguay,852.697,Thousand USD
31-Dec-25,. Peru,3061.662,Thousand USD
31-Dec-25,. Philippines,5013.299,Thousand USD
31-Dec-25,. Poland,45811.3089,Thousand USD
31-Dec-25,. Polynesia,2.594,Thousand USD
31-Dec-25,. Portugal,15680.2288,Thousand USD
31-Dec-25,. Qatar,8668.8045,Thousand USD
31-Dec-25,. Reunion Island,604.9993,Thousand USD
31-Dec-25,. Romania,6561.1897,Thousand USD
31-Dec-25,. Russian Federation,3095.4849,Thousand USD
31-Dec-25,. Rwanda,951.801,Thousand USD
31-Dec-25,. Sao Tome & Principe,212,Thousand USD
31-Dec-25,. Saudi Arabia,65695.3121,Thousand USD
31-Dec-25,. Senegal,5450.0052,Thousand USD
31-Dec-25,. Serbia,196.8685,Thousand USD
31-Dec-25,. Seychelles,203.4535,Thousand USD
31-Dec-25,. Sierra Leone,1798.105,Thousand USD
31-Dec-25,. Singapore,29604.3682,Thousand USD
31-Dec-25,. Slovak Republic,1632.5489,Thousand USD
31-Dec-25,. Slovenia,6973.163,Thousand USD
31-Dec-25,. Solomon Islands,6.336,Thousand USD
31-Dec-25,. Somalia,5541.1856,Thousand USD
31-Dec-25,. South Africa,15262.8497,Thousand USD
31-Dec-25,. South Korea,36138.7841,Thousand USD
31-Dec-25,. Spain,133312.847,Thousand USD
31-Dec-25,. Sri Lanka,20128.6197,Thousand USD
31-Dec-25,. St. Helena,0,Thousand USD
31-Dec-25,. St. Kitts-Nevis,22.7912,Thousand USD
31-Dec-25,. St. Lucia,0,Thousand USD
31-Dec-25,. St. Pierre & Miquelon,0,Thousand USD
31-Dec-25,. St. Vincent,0,Thousand USD
31-Dec-25,. Sudan,2309.7144,Thousand USD
31-Dec-25,. Suriname,20.308,Thousand USD
31-Dec-25,. Swaziland,14.827,Thousand USD
31-Dec-25,. Sweden,14077.3957,Thousand USD
31-Dec-25,. Switzerland,17795.996,Thousand USD
31-Dec-25,. Syrian Arab Republic,0,Thousand USD
31-Dec-25,. Tajikistan,907.205,Thousand USD
31-Dec-25,. Tanzania,19379.8832,Thousand USD
31-Dec-25,. Thailand,13143.4968,Thousand USD
31-Dec-25,. Timor-Leste,20.52,Thousand USD
31-Dec-25,. Togo,2459.0247,Thousand USD
31-Dec-25,. Tonga,0,Thousand USD
31-Dec-25,. Trinidad and Tobago,260.372,Thousand USD
31-Dec-25,. Tunisia,569.5097,Thousand USD
31-Dec-25,. Turkey,17489.5947,Thousand USD
31-Dec-25,. Turkmenistan,50.034,Thousand USD
31-Dec-25,. Tuvalu,0,Thousand USD
31-Dec-25,. U. A. E. Abu Dhabi,19936.8152,Thousand USD
31-Dec-25,. U. A. E. Ajman,1535.181,Thousand USD
31-Dec-25,. U. A. E. Dubai,166685.0237,Thousand USD
31-Dec-25,. U. A. E. Fujairah,0,Thousand USD
31-Dec-25,. U. A. E. Ras Al Khaimah,110.999,Thousand USD
31-Dec-25,. U. A. E. Sharjah,1552.019,Thousand USD
31-Dec-25,. U. A. E. Ummal Quwain,0,Thousand USD
31-Dec-25,. U. K.,191562.7309,Thousand USD
31-Dec-25,. U. S. A.,537558.9985,Thousand USD
31-Dec-25,. Uganda,714.5494,Thousand USD
