Observation Date,Series Display Name,Observation Value,Unit
31-Dec-25,. Lithuania,845.0588,Thousand USD
31-Dec-25,. Luxembourg,215.7933,Thousand USD
31-Dec-25,. Macao,63.5,Thousand USD
31-Dec-25,. Macedonia,0,Thousand USD
31-Dec-25,. Madagascar,177.9527,Thousand USD
31-Dec-25,. Malawi,611.475,Thousand USD
31-Dec-25,. Malaysia,87111.0016,Thousand USD
31-Dec-25,. Maldives,0,Thousand USD
31-Dec-25,. Mali,29.1056,Thousand USD
31-Dec-25,. Malta,8.6442,Thousand USD
31-Dec-25,. Martinique,0,Thousand USD
31-Dec-25,. Mauritania,0,Thousand USD
31-Dec-25,. Mauritius,311.827,Thousand USD
31-Dec-25,. Mexico,1444.2832,Thousand USD
31-Dec-25,. Moldova,0,Thousand USD
31-Dec-25,. Mongolia,24.6,Thousand USD
31-Dec-25,. Montserrat,0,Thousand USD
31-Dec-25,. Morocco,44188.9989,Thousand USD
31-Dec-25,. Mozambique,3329.024,Thousand USD
31-Dec-25,. Myanmar,943.815,Thousand USD
31-Dec-25,. Namibia,0,Thousand USD
31-Dec-25,. Nauru,0,Thousand USD
31-Dec-25,. Nepal,573.8039,Thousand USD
31-Dec-25,. Netherlands (Holland),47262.201,Thousand USD
31-Dec-25,. Netherlands Antilles,0,Thousand USD
31-Dec-25,. New Caledonia,0,Thousand USD
31-Dec-25,. New Zealand,1864.462,Thousand USD
31-Dec-25,. Nicaragua,3.317,Thousand USD
31-Dec-25,. Niger,0,Thousand USD
31-Dec-25,. Nigeria,24.3439,Thousand USD
31-Dec-25,. North Korea,0,Thousand USD
31-Dec-25,. Norway,7944.7082,Thousand USD
31-Dec-25,. Oman,21529.3094,Thousand USD
31-Dec-25,. Panama Inc. Canal Zone,30.521,Thousand USD
31-Dec-25,. Papua New Guinea,0,Thousand USD
31-Dec-25,. Paraguay,3642.7201,Thousand USD
31-Dec-25,. Peru,70.5455,Thousand USD
31-Dec-25,. Philippines,1296.825,Thousand USD
31-Dec-25,. Poland,7432.9851,Thousand USD
31-Dec-25,. Polynesia,0,Thousand USD
31-Dec-25,. Portugal,2616.4825,Thousand USD
31-Dec-25,. Qatar,216658.3981,Thousand USD
31-Dec-25,. Reunion Island,61.016,Thousand USD
31-Dec-25,. Romania,2455.6305,Thousand USD
31-Dec-25,. Russian Federation,3129.628,Thousand USD
31-Dec-25,. Rwanda,49.663,Thousand USD
31-Dec-25,. Sao Tome & Principe,0,Thousand USD
31-Dec-25,. Saudi Arabia,323318.5761,Thousand USD
31-Dec-25,. Senegal,0,Thousand USD
31-Dec-25,. Serbia,25.8728,Thousand USD
31-Dec-25,. Seychelles,544.969,Thousand USD
31-Dec-25,. Sierra Leone,5056.2879,Thousand USD
31-Dec-25,. Singapore,182373.5523,Thousand USD
31-Dec-25,. Slovak Republic,1032.7373,Thousand USD
31-Dec-25,. Slovenia,1320.6749,Thousand USD
31-Dec-25,. Solomon Islands,0,Thousand USD
31-Dec-25,. Somalia,98.017,Thousand USD
31-Dec-25,. South Africa,68959.1448,Thousand USD
31-Dec-25,. South Korea,109268.9903,Thousand USD
31-Dec-25,. Spain,19910.6491,Thousand USD
31-Dec-25,. Sri Lanka,5003.7591,Thousand USD
31-Dec-25,. St. Helena,0,Thousand USD
31-Dec-25,. St. Kitts-Nevis,0,Thousand USD
31-Dec-25,. St. Lucia,0,Thousand USD
31-Dec-25,. St. Pierre & Miquelon,0,Thousand USD
31-Dec-25,. St. Vincent,0,Thousand USD
31-Dec-25,. Sudan,3742.476,Thousand USD
31-Dec-25,. Suriname,77.472,Thousand USD
31-Dec-25,. Swaziland,2164.0737,Thousand USD
31-Dec-25,. Sweden,20806.791,Thousand USD
31-Dec-25,. Switzerland,58074.2447,Thousand USD
31-Dec-25,. Syrian Arab Republic,0,Thousand USD
31-Dec-25,. Tajikistan,0,Thousand USD
31-Dec-25,. Tanzania,12621.6848,Thousand USD
31-Dec-25,. Thailand,91834.377,Thousand USD
31-Dec-25,. Timor-Leste,67.683,Thousand USD
31-Dec-25,. Togo,0,Thousand USD
31-Dec-25,. Tonga,0,Thousand USD
31-Dec-25,. Trinidad and Tobago,23.412,Thousand USD
31-Dec-25,. Tunisia,2.6034,Thousand USD
31-Dec-25,. Turkey,55703.5504,Thousand USD
31-Dec-25,. Turkmenistan,443.983,Thousand USD
31-Dec-25,. Tuvalu,0,Thousand USD
31-Dec-25,. U. A. E. Abu Dhabi,59128.7398,Thousand USD
31-Dec-25,. U. A. E. Ajman,502.2806,Thousand USD
31-Dec-25,. U. A. E. Dubai,582425.3035,Thousand USD
31-Dec-25,. U. A. E. Fujairah,8105.568,Thousand USD
31-Dec-25,. U. A. E. Ras Al Khaimah,123.85,Thousand USD
31-Dec-25,. U. A. E. Sharjah,1749.964,Thousand USD
31-Dec-25,. U. A. E. Ummal Quwain,17.45,Thousand USD
31-Dec-25,. U. K.,58857.4502,Thousand USD
31-Dec-25,. U. S. A.,437812.9411,Thousand USD
31-Dec-25,. Uganda,440.536,Thousand USD
31-Dec-25,. Ukraine,318.103,Thousand USD
31-Dec-25,. Upper Volta,0,Thousand USD
31-Dec-25,. Uruguay,903.487,Thousand USD
31-Dec-25,. Uzbekistan,315.5799,Thousand USD
31-Dec-25,. Vanuatu,0,Thousand USD
31-Dec-25,. Venezuela,1224,Thousand USD
31-Dec-25,. Viet Nam,34717.2086,Thousand USD
31-Dec-25,. Virgin Islands,76.359,Thousand USD
31-Dec-25,. Western Samoa,0,Thousand USD
31-Dec-25,. Windward Islands,0,Thousand USD
31-Dec-25,. Yemen Arab Republic,9.9,Thousand USD
31-Dec-25,. Zaire,0,Thousand USD
31-Dec-25,. Zambia,1768.3437,Thousand USD
31-Dec-25,. Zimbabwe,0,Thousand USD
31-Dec-25,. Other Countries,15150.2428,Thousand USD
31-Dec-25,I. Imports Payments Through Banks,5562804.847,Thousand USD
31-Dec-25,II. Freight & Insurance,171890.6698,Thousand USD
31-Dec-25,III. Imports Payments Banks (fob) (II-III),5390914.177,Thousand USD
31-Dec-25,IV. Other Imports,346085.8227,Thousand USD
31-Dec-25,V. Total Imports as Per BOP (II+V),5737000,Thousand USD
30-Nov-25,. Afghanistan,190.9566,Thousand USD
30-Nov-25,. Albania,0,Thousand USD
30-Nov-25,. Algeria,0,Thousand USD
30-Nov-25,. American Samoa,24.45,Thousand USD
30-Nov-25,. Andorra,0,Thousand USD
30-Nov-25,. Angola,0,Thousand USD
30-Nov-25,. Antigua & Barbuda,0,Thousand USD
30-Nov-25,. Argentina,7328.392,Thousand USD
30-Nov-25,. Armenia,0,Thousand USD
30-Nov-25,. Aruba,0,Thousand USD
30-Nov-25,. Australia,22115.1796,Thousand USD
30-Nov-25,. Austria,6351.3638,Thousand USD
30-Nov-25,. Azerbaijan,0,Thousand USD
30-Nov-25,. Bahamas,0,Thousand USD
30-Nov-25,. Bahrain,5227.2683,Thousand USD
30-Nov-25,. Bangladesh,5000.966,Thousand USD
30-Nov-25,. Barbados,0,Thousand USD
30-Nov-25,. Belarus,349.5043,Thousand USD
30-Nov-25,. Belgium,19605.2089,Thousand USD
30-Nov-25,. Belize,0,Thousand USD
30-Nov-25,. Benin ( Dahomey ),228.579,Thousand USD
30-Nov-25,. Bermuda,0,Thousand USD
30-Nov-25,. Bhutan,0.232,Thousand USD
30-Nov-25,. Bolivia,12.089,Thousand USD
30-Nov-25,. Bosnia Herzegovina,56.2674,Thousand USD
30-Nov-25,. Botswana,7.63,Thousand USD
30-Nov-25,. Brazil,63167.1041,Thousand USD
30-Nov-25,. Brunei,0,Thousand USD
30-Nov-25,. Bulgaria,1248.3309,Thousand USD
30-Nov-25,. Burkina Faso ( Upper Volta),241.649,Thousand USD
30-Nov-25,. Burundi,0,Thousand USD
30-Nov-25,. Cambodia Kampuchea,361.563,Thousand USD
30-Nov-25,. Cameroon,96.3241,Thousand USD
30-Nov-25,. Canada,35423.4025,Thousand USD
30-Nov-25,. Cape Verde,0,Thousand USD
30-Nov-25,. Cayman Islands,0,Thousand USD
30-Nov-25,. Central African Republic,36.412,Thousand USD
30-Nov-25,. Chad,0,Thousand USD
30-Nov-25,. Chile,4628.491,Thousand USD
30-Nov-25,. China,1324502.368,Thousand USD
30-Nov-25,. Colombia,91.7532,Thousand USD
30-Nov-25,. Comoros,55.11,Thousand USD
30-Nov-25,. Congo,1152.1634,Thousand USD
30-Nov-25,. Costa Rica,354.502,Thousand USD
30-Nov-25,. Croatia,386.3241,Thousand USD
30-Nov-25,. Cuba,0,Thousand USD
30-Nov-25,. Cyprus,146.2176,Thousand USD
30-Nov-25,. Czech Republic,2179.2879,Thousand USD
30-Nov-25,. Denmark,5036.2517,Thousand USD
30-Nov-25,. Djibouti,0,Thousand USD
30-Nov-25,. Dominica,0,Thousand USD
30-Nov-25,. Dominican Republic,970.223,Thousand USD
30-Nov-25,. Ecuador,0,Thousand USD
30-Nov-25,. Egypt,7233.5165,Thousand USD
30-Nov-25,. El Salvador,0,Thousand USD
30-Nov-25,. Equatorial Guinea,0,Thousand USD
30-Nov-25,. Eritrea,0,Thousand USD
30-Nov-25,. Estonia,318.6213,Thousand USD
30-Nov-25,. Ethiopia,1117.2264,Thousand USD
30-Nov-25,. Faeroe Islands,0,Thousand USD
30-Nov-25,. Falkland Islands,0,Thousand USD
30-Nov-25,. Fiji,31.9,Thousand USD
30-Nov-25,. Finland,4310.6483,Thousand USD
30-Nov-25,. France,18180.4694,Thousand USD
30-Nov-25,. French Guinea,0,Thousand USD
30-Nov-25,. Gabon,90.7954,Thousand USD
30-Nov-25,. Gambia,0,Thousand USD
30-Nov-25,. Georgia,43.08,Thousand USD
30-Nov-25,. Germany,55642.922,Thousand USD
30-Nov-25,. Ghana,426.203,Thousand USD
30-Nov-25,. Gibraltar,0,Thousand USD
30-Nov-25,. Greece,4074.3354,Thousand USD
30-Nov-25,. Greenland,0,Thousand USD
30-Nov-25,. Grenada,0,Thousand USD
30-Nov-25,. Guadeloupe,0,Thousand USD
30-Nov-25,. Guam,0,Thousand USD
30-Nov-25,. Guatemala,339.844,Thousand USD
30-Nov-25,. Guinea,0,Thousand USD
30-Nov-25,. Guinea-Bissau,0,Thousand USD
30-Nov-25,. Guyana,27.833,Thousand USD
30-Nov-25,. Haiti,0,Thousand USD
30-Nov-25,. Honduras,0,Thousand USD
30-Nov-25,. Hong Kong,50705.7457,Thousand USD
30-Nov-25,. Hungary,584.3747,Thousand USD
30-Nov-25,. Iceland,960.911,Thousand USD
30-Nov-25,. India,19673.3485,Thousand USD
30-Nov-25,. Indonesia,269633.7246,Thousand USD
30-Nov-25,. Iran,0,Thousand USD
30-Nov-25,. Iraq,12547.5391,Thousand USD
30-Nov-25,. Ireland,2268.1302,Thousand USD
30-Nov-25,. Italy,30238.7409,Thousand USD
30-Nov-25,. Ivory Coast,3290.6663,Thousand USD
30-Nov-25,. Jamaica,18.365,Thousand USD
30-Nov-25,. Japan,95511.7182,Thousand USD
30-Nov-25,. Jordan,325.8433,Thousand USD
30-Nov-25,. Kazakhstan,25.1741,Thousand USD
30-Nov-25,. Kenya,45455.6313,Thousand USD
30-Nov-25,. Kiribati,0,Thousand USD
30-Nov-25,. Kuwait,58594.7332,Thousand USD
30-Nov-25,. Kyrgyzstan,0,Thousand USD
30-Nov-25,. Laos,0,Thousand USD
30-Nov-25,. Latvia,853.608,Thousand USD
30-Nov-25,. Lebanon,0,Thousand USD
30-Nov-25,. Leeward Islands,0,Thousand USD
30-Nov-25,. Lesotho,57.517,Thousand USD
30-Nov-25,. Liberia,2763.355,Thousand USD
30-Nov-25,. Libya,318.17,Thousand USD
30-Nov-25,. Lithuania,576.9555,Thousand USD
30-Nov-25,. Luxembourg,252.6004,Thousand USD
30-Nov-25,. Macao,170.168,Thousand USD
30-Nov-25,. Macedonia,0,Thousand USD
30-Nov-25,. Madagascar,333.681,Thousand USD
30-Nov-25,. Malawi,518.625,Thousand USD
30-Nov-25,. Malaysia,90750.8518,Thousand USD
30-Nov-25,. Maldives,0,Thousand USD
30-Nov-25,. Mali,19.4438,Thousand USD
30-Nov-25,. Malta,16.4689,Thousand USD
30-Nov-25,. Martinique,0,Thousand USD
30-Nov-25,. Mauritania,0,Thousand USD
30-Nov-25,. Mauritius,286.494,Thousand USD
30-Nov-25,. Mexico,1952.2829,Thousand USD
30-Nov-25,. Moldova,0,Thousand USD
30-Nov-25,. Mongolia,12,Thousand USD
30-Nov-25,. Montserrat,0,Thousand USD
30-Nov-25,. Morocco,52865.6458,Thousand USD
30-Nov-25,. Mozambique,337.634,Thousand USD
30-Nov-25,. Myanmar,1135.506,Thousand USD
30-Nov-25,. Namibia,387.709,Thousand USD
30-Nov-25,. Nauru,0,Thousand USD
30-Nov-25,. Nepal,673.9855,Thousand USD
30-Nov-25,. Netherlands (Holland),36719.02553,Thousand USD
30-Nov-25,. Netherlands Antilles,0,Thousand USD
30-Nov-25,. New Caledonia,0,Thousand USD
30-Nov-25,. New Zealand,1175.4313,Thousand USD
30-Nov-25,. Nicaragua,0,Thousand USD
30-Nov-25,. Niger,0,Thousand USD
30-Nov-25,. Nigeria,642.1974,Thousand USD
30-Nov-25,. North Korea,0,Thousand USD
30-Nov-25,. Norway,2080.9704,Thousand USD
30-Nov-25,. Oman,80539.8127,Thousand USD
30-Nov-25,. Panama Inc. Canal Zone,2953.632,Thousand USD
30-Nov-25,. Papua New Guinea,0,Thousand USD
30-Nov-25,. Paraguay,25.9815,Thousand USD
30-Nov-25,. Peru,32.0534,Thousand USD
30-Nov-25,. Philippines,7536.0599,Thousand USD
30-Nov-25,. Poland,6141.3475,Thousand USD
30-Nov-25,. Polynesia,0,Thousand USD
30-Nov-25,. Portugal,978.3241,Thousand USD
30-Nov-25,. Qatar,198746.0026,Thousand USD
30-Nov-25,. Reunion Island,87.734,Thousand USD
30-Nov-25,. Romania,898.6991,Thousand USD
30-Nov-25,. Russian Federation,3709.37,Thousand USD
30-Nov-25,. Rwanda,244.675,Thousand USD
30-Nov-25,. Sao Tome & Principe,0,Thousand USD
30-Nov-25,. Saudi Arabia,368228.9485,Thousand USD
30-Nov-25,. Senegal,32.59,Thousand USD
30-Nov-25,. Serbia,8.563,Thousand USD
30-Nov-25,. Seychelles,44.865,Thousand USD
30-Nov-25,. Sierra Leone,0,Thousand USD
30-Nov-25,. Singapore,126666.7028,Thousand USD
30-Nov-25,. Slovak Republic,534.2276,Thousand USD
30-Nov-25,. Slovenia,718.1921,Thousand USD
30-Nov-25,. Solomon Islands,0,Thousand USD
30-Nov-25,. Somalia,128.68,Thousand USD
30-Nov-25,. South Africa,40747.2768,Thousand USD
30-Nov-25,. South Korea,114314.9248,Thousand USD
30-Nov-25,. Spain,17663.25499,Thousand USD
30-Nov-25,. Sri Lanka,4889.9182,Thousand USD
30-Nov-25,. St. Helena,0,Thousand USD
30-Nov-25,. St. Kitts-Nevis,30.174,Thousand USD
30-Nov-25,. St. Lucia,0,Thousand USD
30-Nov-25,. St. Pierre & Miquelon,0,Thousand USD
30-Nov-25,. St. Vincent,0,Thousand USD
30-Nov-25,. Sudan,7280.8349,Thousand USD
30-Nov-25,. Suriname,0,Thousand USD
30-Nov-25,. Swaziland,68.6172,Thousand USD
30-Nov-25,. Sweden,10674.2234,Thousand USD
30-Nov-25,. Switzerland,28008.0768,Thousand USD
30-Nov-25,. Syrian Arab Republic,0,Thousand USD
30-Nov-25,. Tajikistan,149.437,Thousand USD
30-Nov-25,. Tanzania,6802.912,Thousand USD
30-Nov-25,. Thailand,66246.0779,Thousand USD
30-Nov-25,. Timor-Leste,0,Thousand USD
30-Nov-25,. Togo,0,Thousand USD
30-Nov-25,. Tonga,0,Thousand USD
30-Nov-25,. Trinidad and Tobago,105.9551,Thousand USD
30-Nov-25,. Tunisia,92.696,Thousand USD
30-Nov-25,. Turkey,26889.5223,Thousand USD
30-Nov-25,. Turkmenistan,492.101,Thousand USD
30-Nov-25,. Tuvalu,0,Thousand USD
30-Nov-25,. U. A. E. Abu Dhabi,84753.9194,Thousand USD
30-Nov-25,. U. A. E. Ajman,420.0122,Thousand USD
30-Nov-25,. U. A. E. Dubai,581136.6921,Thousand USD
30-Nov-25,. U. A. E. Fujairah,25490.1049,Thousand USD
30-Nov-25,. U. A. E. Ras Al Khaimah,280.075,Thousand USD
30-Nov-25,. U. A. E. Sharjah,2069.9543,Thousand USD
30-Nov-25,. U. A. E. Ummal Quwain,691.2954,Thousand USD
30-Nov-25,. U. K.,88480.98903,Thousand USD
30-Nov-25,. U. S. A.,278423.926,Thousand USD
30-Nov-25,. Uganda,202.56,Thousand USD
30-Nov-25,. Ukraine,595.077,Thousand USD
30-Nov-25,. Upper Volta,0,Thousand USD
30-Nov-25,. Uruguay,405.812,Thousand USD
30-Nov-25,. Uzbekistan,813.7662,Thousand USD
30-Nov-25,. Vanuatu,0,Thousand USD
30-Nov-25,. Venezuela,3.882,Thousand USD
30-Nov-25,. Viet Nam,39445.0519,Thousand USD
30-Nov-25,. Virgin Islands,0,Thousand USD
30-Nov-25,. Western Samoa,0,Thousand USD
30-Nov-25,. Windward Islands,0,Thousand USD
30-Nov-25,. Yemen Arab Republic,5.4,Thousand USD
30-Nov-25,. Zaire,0,Thousand USD
30-Nov-25,. Zambia,3710.918,Thousand USD
30-Nov-25,. Zimbabwe,0,Thousand USD
30-Nov-25,. Other Countries,16410.024,Thousand USD
30-Nov-25,I. Imports Payments Through Banks,4629199.854,Thousand USD
30-Nov-25,II. Freight & Insurance,143042.2755,Thousand USD
30-Nov-25,III. Imports Payments Banks (fob) (II-III),4486157.578,Thousand USD
30-Nov-25,IV. Other Imports,229842.4218,Thousand USD
30-Nov-25,V. Total Imports as Per BOP (II+V),4716000,Thousand USD
31-Oct-25,. Afghanistan,878.5131,Thousand USD
31-Oct-25,. Albania,0,Thousand USD
31-Oct-25,. Algeria,0,Thousand USD
31-Oct-25,. American Samoa,75.6731,Thousand USD
31-Oct-25,. Andorra,0,Thousand USD
31-Oct-25,. Angola,0,Thousand USD
31-Oct-25,. Antigua & Barbuda,0,Thousand USD
31-Oct-25,. Argentina,9702.261,Thousand USD
31-Oct-25,. Armenia,31.875,Thousand USD
31-Oct-25,. Aruba,0,Thousand USD
31-Oct-25,. Australia,24931.1026,Thousand USD
31-Oct-25,. Austria,16337.7256,Thousand USD
31-Oct-25,. Azerbaijan,0,Thousand USD
31-Oct-25,. Bahamas,0,Thousand USD
31-Oct-25,. Bahrain,10421.3211,Thousand USD
31-Oct-25,. Bangladesh,4620.989,Thousand USD
31-Oct-25,. Barbados,52.226,Thousand USD
31-Oct-25,. Belarus,563.5808,Thousand USD
31-Oct-25,. Belgium,12239.6852,Thousand USD
31-Oct-25,. Belize,0,Thousand USD
31-Oct-25,. Benin ( Dahomey ),369.24,Thousand USD
31-Oct-25,. Bermuda,0,Thousand USD
31-Oct-25,. Bhutan,0,Thousand USD
31-Oct-25,. Bolivia,0,Thousand USD
31-Oct-25,. Bosnia Herzegovina,0.56,Thousand USD
31-Oct-25,. Botswana,0,Thousand USD
31-Oct-25,. Brazil,57417.7689,Thousand USD
31-Oct-25,. Brunei,0,Thousand USD
31-Oct-25,. Bulgaria,1165.2739,Thousand USD
31-Oct-25,. Burkina Faso ( Upper Volta),363.388,Thousand USD
31-Oct-25,. Burundi,0,Thousand USD
31-Oct-25,. Cambodia Kampuchea,363.827,Thousand USD
31-Oct-25,. Cameroon,12.9576,Thousand USD
31-Oct-25,. Canada,13806.365,Thousand USD
31-Oct-25,. Cape Verde,0,Thousand USD
31-Oct-25,. Cayman Islands,0,Thousand USD
31-Oct-25,. Central African Republic,0,Thousand USD
31-Oct-25,. Chad,0,Thousand USD
31-Oct-25,. Chile,1764.002,Thousand USD
31-Oct-25,. China,1527112.918,Thousand USD
31-Oct-25,. Colombia,83.396,Thousand USD
31-Oct-25,. Comoros,160.2288,Thousand USD
31-Oct-25,. Congo,1043.0887,Thousand USD
31-Oct-25,. Costa Rica,2.801,Thousand USD
31-Oct-25,. Croatia,499.036,Thousand USD
31-Oct-25,. Cuba,0,Thousand USD
31-Oct-25,. Cyprus,108.437,Thousand USD
31-Oct-25,. Czech Republic,1611.9036,Thousand USD
31-Oct-25,. Denmark,5523.8607,Thousand USD
31-Oct-25,. Djibouti,0,Thousand USD
31-Oct-25,. Dominica,0,Thousand USD
31-Oct-25,. Dominican Republic,1167.016,Thousand USD
31-Oct-25,. Ecuador,29.4,Thousand USD
31-Oct-25,. Egypt,22474.8751,Thousand USD
31-Oct-25,. El Salvador,54.6121,Thousand USD
31-Oct-25,. Equatorial Guinea,0,Thousand USD
31-Oct-25,. Eritrea,0,Thousand USD
31-Oct-25,. Estonia,169.8601,Thousand USD
31-Oct-25,. Ethiopia,797.5795,Thousand USD
31-Oct-25,. Faeroe Islands,0,Thousand USD
31-Oct-25,. Falkland Islands,0,Thousand USD
31-Oct-25,. Fiji,0,Thousand USD
31-Oct-25,. Finland,3978.3678,Thousand USD
31-Oct-25,. France,30186.2452,Thousand USD
31-Oct-25,. French Guinea,0,Thousand USD
31-Oct-25,. Gabon,37.326,Thousand USD
31-Oct-25,. Gambia,0,Thousand USD
31-Oct-25,. Georgia,38.656,Thousand USD
31-Oct-25,. Germany,76184.2236,Thousand USD
31-Oct-25,. Ghana,905.626,Thousand USD
31-Oct-25,. Gibraltar,0,Thousand USD
31-Oct-25,. Greece,942.5542,Thousand USD
31-Oct-25,. Greenland,127.8443,Thousand USD
31-Oct-25,. Grenada,0,Thousand USD
31-Oct-25,. Guadeloupe,0,Thousand USD
31-Oct-25,. Guam,0,Thousand USD
31-Oct-25,. Guatemala,640.626,Thousand USD
31-Oct-25,. Guinea,0,Thousand USD
31-Oct-25,. Guinea-Bissau,0,Thousand USD
31-Oct-25,. Guyana,168.137,Thousand USD
31-Oct-25,. Haiti,0,Thousand USD
31-Oct-25,. Honduras,4.3774,Thousand USD
31-Oct-25,. Hong Kong,55861.9458,Thousand USD
31-Oct-25,. Hungary,1227.7383,Thousand USD
31-Oct-25,. Iceland,14.204,Thousand USD
31-Oct-25,. India,20441.2769,Thousand USD
31-Oct-25,. Indonesia,310910.4061,Thousand USD
31-Oct-25,. Iran,0,Thousand USD
